month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,rh_extremes_minimum,mean_rh,mean_sunshine_hrs,mean_temp,temp_mean_daily_max,temp_mean_daily_min
1997-07,5.4,9,18.6,47,76.5,6.5,28.8,32.4,26.0
1997-08,61.4,9,86.6,52,78.2,5.7,28.8,32.6,25.9
1997-09,24.3,3,31.1,43,77.0,3.2,28.8,32.2,26.3
1997-10,36.5,8,78.4,49,81.0,3.2,28.2,32.4,25.1
1997-11,53.6,13,158.3,50,82.8,5.4,27.8,32.0,24.8
1997-12,65.8,23,351.9,50,85.3,5.3,27.3,31.3,24.6
1998-01,79.7,13,268.8,53,83.2,7.4,28.0,31.8,25.3
1998-02,11.9,5,32.5,50,78.3,8.9,28.9,33.1,25.9
1998-03,20.9,7,58.8,47,77.8,7.6,29.5,34.1,26.3
1998-04,64.9,13,187.7,53,81.8,6.7,29.2,33.1,26.3
1998-05,83.7,18,370.8,53,82.3,5.9,29.4,33.1,26.3
1998-06,42.8,15,198.8,50,82.1,5.3,28.6,32.4,25.4
1998-07,55.8,18,259.2,51,81.8,5.1,28.1,31.5,24.9
1998-08,35.5,18,195.0,56,85.4,4.6,27.5,30.9,24.7
1998-09,52.0,17,258.2,47,84.1,4.5,27.9,31.1,24.9
1998-10,32.4,20,222.7,48,82.3,5.0,28.0,31.9,24.6
1998-11,57.5,11,107.2,49,81.9,4.6,27.9,31.7,24.9
1998-12,84.4,22,463.4,55,88.5,3.1,26.6,30.4,24.2
1999-01,52.5,19,193.9,60,88.3,3.9,26.6,30.4,24.3
1999-02,32.1,9,67.4,58,82.4,6.7,27.2,31.3,24.5
1999-03,52.4,16,181.4,56,87.5,4.3,27.1,31.5,24.4
1999-04,29.2,14,88.5,46,82.6,5.8,28.3,32.5,25.4
1999-05,42.8,13,157.1,52,84.4,5.7,28.0,31.7,25.3
1999-06,34.5,13,103.4,54,81.9,6.0,28.2,31.8,25.3
1999-07,51.4,11,225.4,56,82.7,6.8,27.8,31.2,24.7
1999-08,42.4,13,204.0,51,84.1,5.7,27.5,31.0,24.5
1999-09,41.5,13,125.9,50,81.7,6.5,27.9,31.9,24.9
1999-10,32.8,20,205.0,53,84.6,4.7,27.2,31.1,24.3
1999-11,39.0,19,241.5,47,84.4,4.7,27.3,31.3,24.5
1999-12,76.9,17,340.5,56,85.3,4.1,26.8,30.6,24.1
2000-01,127.6,14,275.2,60,86.9,4.0,26.3,29.8,23.9
2000-02,39.9,18,237.8,58,86.5,5.8,26.6,31.0,23.8
2000-03,37.9,15,238.3,44,85.8,5.8,27.2,31.9,24.3
2000-04,87.4,20,311.6,54,85.6,5.3,27.5,31.9,24.6
2000-05,36.7,10,96.8,49,82.4,6.8,28.6,32.7,25.7
2000-06,41.7,16,157.5,53,84.3,4.6,27.6,31.1,24.7
2000-07,34.6,12,116.1,56,82.6,6.5,28.1,31.6,25.3
2000-08,28.1,18,113.5,46,83.8,5.1,27.5,30.7,24.8
2000-09,25.7,12,81.1,48,82.2,6.2,28.0,32.1,25.2
2000-10,38.3,14,120.9,51,82.1,4.0,27.8,31.8,24.9
2000-11,72.0,21,385.7,47,87.1,3.7,27.3,31.3,24.7
2000-12,45.8,18,236.0,60,87.6,4.2,27.0,31.0,24.4
2001-01,125.4,21,425.8,49,87.4,4.4,26.5,30.3,24.0
2001-02,28.2,11,86.6,58,83.6,4.8,27.0,30.9,24.5
2001-03,41.1,20,297.3,50,84.5,5.4,27.5,31.8,24.2
2001-04,68.9,18,203.3,50,86.0,5.3,27.7,31.8,25.1
2001-05,56.1,12,164.9,57,85.0,6.0,28.5,32.2,25.7
2001-06,49.6,11,137.1,49,82.5,4.9,28.2,31.4,25.4
2001-07,44.8,9,111.3,50,80.8,8.1,28.4,32.2,25.5
2001-08,36.6,14,158.3,50,83.7,4.9,28.0,31.1,25.2
2001-09,74.3,13,162.0,54,82.3,6.2,28.0,31.6,25.2
2001-10,77.2,20,252.2,47,83.7,4.4,27.6,31.4,24.7
2001-11,102.6,15,175.3,54,84.9,3.7,27.2,30.8,24.7
2001-12,211.1,20,609.0,55,86.8,4.5,26.7,30.7,24.1
2002-01,83.8,11,221.2,49,83.6,6.9,27.0,30.9,24.5
2002-02,41.7,2,50.8,53,80.9,7.4,27.3,31.3,24.5
2002-03,26.4,8,55.6,40,80.8,7.6,28.2,33.0,25.1
2002-04,39.4,13,116.5,50,82.3,6.6,28.6,33.0,25.6
2002-05,75.9,13,236.6,52,82.3,6.2,28.9,32.6,26.1
2002-06,45.8,12,83.1,56,82.1,6.3,28.7,32.1,26.0
2002-07,69.5,11,233.7,56,82.7,6.8,28.4,31.9,25.5
2002-08,17.8,14,54.2,50,79.2,6.7,28.5,31.9,25.6
2002-09,38.9,9,124.2,49,81.7,5.5,28.1,31.7,25.1
2002-10,3.2,7,10.8,42,79.8,6.2,28.7,33.0,25.7
2002-11,84.0,15,307.2,56,85.8,4.6,27.4,31.7,24.5
2002-12,38.6,24,255.0,56,88.7,4.8,27.2,31.3,24.7
2003-01,194.4,20,444.2,56,86.9,4.7,26.7,30.1,24.4
2003-02,82.2,13,172.9,55,85.0,5.8,27.1,30.8,24.4
2003-03,38.3,11,154.6,54,83.8,6.9,28.1,32.3,25.2
2003-04,42.9,20,159.9,48,86.7,5.1,27.9,32.1,25.3
2003-05,33.0,11,81.8,45,81.7,5.8,29.2,32.7,26.5
2003-06,23.2,12,50.3,36,78.5,7.0,28.9,32.7,26.0
2003-07,30.9,14,170.4,54,81.7,5.6,28.1,31.5,25.1
2003-08,64.4,13,193.6,48,83.1,6.1,28.2,31.8,25.5
2003-09,60.0,15,205.3,46,84.8,5.0,27.6,31.2,24.8
2003-10,56.6,21,351.4,54,84.9,5.1,27.6,31.1,24.5
2003-11,41.3,19,133.8,56,87.3,4.2,27.1,31.0,24.7
2003-12,92.1,17,273.0,60,87.2,3.9,26.5,29.9,24.3
2004-01,177.8,13,600.9,57,86.7,6.7,26.9,30.6,24.2
2004-02,19.2,4,31.9,51,80.5,7.7,27.6,32.0,24.7
2004-03,122.8,16,269.4,56,85.8,4.8,27.7,32.2,24.7
2004-04,18.1,9,57.1,46,82.3,7.0,28.9,33.3,26.1
2004-05,73.4,13,137.6,51,82.1,6.0,28.9,32.8,26.4
2004-06,68.1,8,127.2,49,79.8,6.3,29.0,32.4,26.1
2004-07,34.3,20,166.6,56,85.3,4.2,27.3,30.8,24.5
2004-08,111.5,8,185.2,47,80.3,7.3,28.3,31.7,25.4
2004-09,29.1,14,128.9,50,83.6,5.9,27.8,31.7,25.0
2004-10,25.3,13,125.6,43,83.9,5.0,27.8,31.6,25.0
2004-11,62.4,15,166.2,56,86.1,5.8,27.3,31.4,24.6
2004-12,36.4,14,139.8,58,85.2,4.9,26.8,30.1,24.5
2005-01,96.7,8,163.2,49,83.3,6.5,26.6,30.2,23.9
2005-02,7.2,3,8.4,45,77.7,9.1,28.5,33.4,25.3
2005-03,20.5,12,82.4,47,80.3,7.2,28.5,33.3,25.4
2005-04,49.6,10,81.7,42,81.0,7.0,28.7,33.0,25.7
2005-05,58.7,20,331.1,47,84.6,5.5,28.5,32.4,25.2
2005-06,27.6,15,82.3,50,82.7,5.4,28.8,32.0,26.1
2005-07,26.3,15,104.0,53,84.0,5.4,28.0,31.4,25.2
2005-08,13.8,13,58.5,54,82.9,6.5,28.2,31.5,25.5
2005-09,43.4,18,175.7,53,84.2,6.2,28.2,32.0,25.2
2005-10,76.2,19,314.5,57,85.2,5.1,27.6,31.3,24.7
2005-11,133.8,23,362.9,56,86.4,4.4,27.3,30.8,24.4
2005-12,47.3,19,166.0,55,85.6,4.5,27.3,31.0,24.6
2006-01,131.7,20,454.4,56,87.8,4.8,26.5,30.0,24.1
2006-02,44.5,8,115.5,58,84.0,7.4,27.5,31.5,24.8
2006-03,35.7,9,83.1,48,81.3,7.1,28.3,33.1,25.2
2006-04,43.3,18,239.8,53,87.0,5.3,27.6,32.1,24.8
2006-05,36.6,14,205.7,52,85.2,5.0,28.1,32.0,25.4
2006-06,37.3,16,236.8,59,86.3,5.5,27.8,31.0,25.1
2006-07,54.8,15,153.8,58,83.8,6.9,28.4,31.5,25.7
2006-08,30.4,14,127.3,52,81.9,6.7,28.3,31.5,25.5
2006-09,32.2,12,83.3,49,81.0,5.3,28.0,31.4,25.4
2006-10,37.8,8,102.0,44,80.9,4.8,28.3,32.2,25.4
2006-11,64.0,18,185.6,59,87.4,5.6,27.3,31.4,24.5
2006-12,198.0,22,765.9,54,88.5,3.2,26.6,30.0,24.3
2007-01,143.8,20,450.1,55,86.8,4.1,26.5,29.8,24.2
2007-02,51.4,3,105.5,51,82.5,7.6,27.3,31.5,24.5
2007-03,68.8,21,269.1,47,84.9,5.8,27.5,31.5,24.6
2007-04,102.4,14,240.2,50,84.7,5.9,28.1,32.0,25.2
2007-05,21.9,16,127.2,60,84.8,5.5,28.3,31.6,25.3
2007-06,38.0,12,139.0,50,82.8,6.0,28.4,32.1,25.4
2007-07,23.0,19,141.7,57,84.8,3.8,27.7,30.6,25.1
2007-08,55.9,20,190.7,58,82.9,5.7,27.7,30.9,25.0
2007-09,52.1,13,149.0,53,83.3,5.8,27.8,31.0,25.0
2007-10,51.8,16,237.2,49,83.2,5.6,27.8,31.6,24.9
2007-11,60.1,21,367.9,55,86.5,3.5,26.9,30.8,24.0
2007-12,159.0,20,468.6,49,86.8,4.5,26.4,30.1,24.1
2008-01,123.1,19,262.6,55,86.0,6.1,26.8,30.7,24.3
2008-02,48.5,8,129.2,49,82.9,5.5,26.7,30.9,24.0
2008-03,48.1,16,294.1,61,87.1,4.3,26.5,30.1,24.0
2008-04,34.2,13,87.2,56,82.0,6.0,28.1,31.9,25.1
2008-05,42.3,11,124.9,47,79.1,6.6,28.8,32.2,26.0
2008-06,45.2,12,118.3,54,81.5,5.6,28.2,31.4,25.3
2008-07,23.5,15,89.1,52,81.3,4.9,27.8,30.8,25.1
2008-08,133.9,18,327.3,55,83.8,5.5,27.4,30.9,24.7
2008-09,43.5,18,164.4,52,82.7,5.1,27.7,31.1,24.6
2008-10,41.6,19,159.5,58,84.9,4.5,27.6,31.4,25.0
2008-11,63.3,16,324.3,58,85.9,4.0,27.3,31.2,24.5
2008-12,52.0,17,244.2,52,83.7,4.8,26.9,30.5,24.3
2009-01,36.0,5,38.3,50,79.1,6.6,26.8,30.7,24.2
2009-02,74.2,8,201.8,42,80.7,6.4,27.3,32.3,24.2
2009-03,56.3,19,223.3,54,85.4,5.5,27.2,31.4,24.1
2009-04,86.6,12,183.7,48,82.2,6.2,28.5,32.3,25.4
2009-05,41.3,17,198.6,52,83.0,6.6,28.7,32.2,25.3
2009-06,5.8,8,21.8,53,79.8,7.0,29.1,32.6,26.2
2009-07,24.4,16,161.0,56,80.8,6.2,28.3,31.7,25.3
2009-08,35.5,12,177.8,51,80.7,6.5,28.3,31.7,25.6
2009-09,63.0,13,109.6,53,82.0,5.6,28.3,31.7,25.5
2009-10,38.4,15,133.4,49,82.8,5.4,28.2,32.1,25.2
2009-11,61.4,23,281.8,51,85.6,4.7,27.2,31.5,24.8
2009-12,42.6,18,189.8,61,86.3,4.7,27.1,30.7,24.6
2010-01,24.5,10,69.5,50,82.1,7.1,27.5,31.2,24.4
